keyword,score
tab- ctto,4.00
a-a44 př1,4.00
terénní snímky,4.00
tudíž neprístupné,4.00
de hrziedelik,4.00
a6/ ■,4.00
kulatá hláska,4.00
menší věž,4.00
majetek královský,4.00
léno pánům,4.00
vnitřní areál,4.00
zacho zachopouze,4.00
zatopen vodou,4.00
wir verkaufen,4.00
nowem sedle,4.00
l er,4.00
návesním rybníkem,4.00
40/2 reg-č,4.00
posledn fobě,4.00
mgb xx,4.00
dvěma rybníky,4.00
podlouhlého tvaru,4.00
6m široký,4.00
porostlé borovým,4.00
in vgezd,4.00
vrchem vinicí,4.00
zahradními úpravami,4.00
zachována zcela,4.00
lomového kamene,4.00
zbyt zbytzjištěna,4.00
přítomné době,4.00
drůbežárna jzd,4.00
hospodářskými budovami,4.00
myší zámek*’,4.00
téměř nepřístupné,4.00
popisované píčem,4.00
důvodů hospodářských,4.00
pozdější době,4.00
zaoblenými rohy,4.00
nej- vyšší,4.00
clubs x,4.00
t ab,4.00
třicetileté válce,4.00
okolí kostelíku,4.00
staré myslivny,4.00
pokraji lesa,4.00
ovocného sadu,4.00
koncem xv,4.00
obdélníková stavba,4.00
místy zachovaná,4.00
vyzděná tarasem,4.00
úbočí hory,4.00
velmi poškozené,4.00
zygmund gisstierbsky,4.00
blatna oznámil,4.00
de kamnik,4.00
mohutné zříceniny,4.00
svém štítě,4.00
3m vysoký,4.00
obou koncích,4.00
jistě mylné,4.00
lokalitu zaměnil,4.00
chudým hrádkem,4.00
celková mana,4.00
hradských budovách,4.00
břehu labe,4.00
kratších stranách,4.00
menší nezalesněná,4.00
pře dhradím,4.00
podobě valů,4.00
situace ukazuje,4.00
pevnosti terezín,4.00
hranolovitá zvonice,4.00
protáhlé zvrziště,4.00
porostlá lesem,4.00
vápennou meltu,4.00
hladinou ohře,4.00
součástí svrchně-křídové,4.00
aluviálními hlínami,4.00
řece ohři,4.00
příkré svahy,4.00
vnitřní plocha,4.00
dům důchodců,4.00
domu důchodců,4.00
jesuitská residence,4.00
bílé hoře,4.00
žádných zbytků,4.00
dvou lidech,4.00
pozdějšími úpravami,4.00
polygonálním závěrem,4.00
špatném stavu,4.00
druhý sklep,4.00
hrádecké zbožie,4.00
prope dubam,4.00
chu chuhraádku,4.00
sa vi,4.00
-ethode e,4.00
paty milešovky,4.00
de mylessow,4.00
dotická zvonice,4.00
dnešním hřbitově,4.00
velké nučnice,4.00
in oparn,4.00
valeně sklenut,4.00
opukových kvádrů,4.00
dávají tušiti,4.00
pečetil vecemil,4.00
bílé hory,4.00
villa monii,4.00
přesná lokalisace,4.00
hasičskou zbrojnici,4.00
horou pannou,4.00
-clubs xv,4.00
hradských budov,4.00
uveděného sedláčkem,4.00
de michelsberg,4.00
in tečiněves,4.00
dějiny konf,4.00
litomě ic,4.00
podie popisu,4.00
sdělení dr,4.00
školní budovu,4.00
panské zahrady,4.00
úpravě hřiště,4.00
de striebyewlicz,4.00
husitských válek,4.00
malou brankou,4.00
nově vyzděná,4.00
celém obvodu,4.00
in bohmen,4.00
93/2 -,4.00
areálu pivovaru,4.00
kupolovitého tvaru,4.00
dosti rozměrné,4.00
skal skal,4.00
náhorní planiny,4.00
rybníky holanským,4.00
nově zřízeným,4.00
nízké náspy,4.00
budovách hradských,4.00
starožitnosti iil/l,4.00
velké žernostky,4.00
de wchinicz,4.00
úpravě zahrady,4.00
zmínk y,4.00
užívání jzd,4.00
dochováno ohniště,4.00
jednak stáje,4.00
býval předhradím,4.00
mlýnského náhonu,4.00
výstavbě sýpky,4.00
lippertova domku,4.00
758/1 ng,4.00
kraj severočeský,4.00
místní pojmenování,4.00
patřící hruškům,4.00
valeně sklenuté,4.00
opukových kvádříků,4.00
moderní době,4.00
zbytek chodby,4.00
jednopatrová stavba,4.00
pevnostního charakteru,4.00
břehu ohře,4.00
sond sondách,4.00
dobývání písku,4.00
tvz medvídkov,4.00
zalo zaloasi,4.00
in destnicz,4.00
zají ček,4.00
prvé poloviny,4.00
omítnutá lepenicí,4.00
dvou stran,4.00
de horuticz,4.00
dnešní dům,4.00
nově upravena,4.00
schallerových doh,4.00
železné předměty,4.00
ul oženy,4.00
volné prostranství,4.00
autobusovou čekárnou,4.00
stavebního materiálu,4.00
rozhraní polí,4.00
de liczkow,4.00
je- upravena,4.00
ovocný sád,4.00
velikého lipna,4.00
/^r lišeny,4.00
rozvržení sb,4.00
druh nálezu,4.00
t vrze,4.00
středověk poznámky,4.00
podávají -karel,4.00
našich dnů,4.00
de zmicholup,4.00
de minicz,4.00
kanalisace mlezeny,4.00
in neczenicz,4.00
nově vystavenou,4.00
2-3 vys,4.00
klášter postoloprtský,4.00
nomine duringo,4.00
cosmae prag,4.00
mladšího založení,4.00
vilového charakteru,4.00
neí znáti,4.00
benessij déc,4.00
zanik zanikvsí,4.00
plemenářské stanice,4.00
sinici žatec-louny,4.00
vnitřní plochu,4.00
prudké svahy,4.00
stanko- vic,4.00
porostlé borovicemi,4.00
zatopeny rybníkem,4.00
op tuchořice,4.00
dvoře jzd,4.00
budovou mnv,4.00
de tuchorsitz,4.00
moderní budovu,4.00
cest ou,4.00
žiželicích rchází,4.00
ryxanad xakkyx,4.00
místní tradice,4.00
několikráte přerušen,4.00
~20 hvězdov,4.00
menší úval,4.00
číslování čp,4.00
červenou horou,4.00
horský hřbet,4.00
sdělení les,4.00
dolů demolováno,4.00
srovnáno buldozerem,4.00
povrchového dolu,4.00
mlyn mlynnáhonem,4.00
obklo obklopříkopem,4.00
vyskytuje teprve,4.00
prosté jm,4.00
in lacu,4.00
oberlautmans- darf,4.00
lesní správa,4.00
znovu adaptován,4.00
školské účely,4.00
západním průčelí,4.00
kamenným ostěním,4.00
šesté okno,4.00
klíčového tvaru,4.00
zu koruslog,4.00
rozkaz císaře,4.00
zbyněk zejíc,4.00
věnoval manželce,4.00
patokrej přidal,4.00
skalním masivu,4.00
testis poto,4.00
ukazovali jízek,4.00
mohutným velem,4.00
provedl dr,4.00
hlásí shodně,4.00
mladohradištního stupně,4.00
konce xv,4.00
káza prkošovi,4.00
sasy jěti,4.00
postavená r,4.00
